[GIN] 2021/06/09 - 09:59:01 | 404 |        78.8µs |      172.18.0.1 | GET      "/js/chunk-vendors.174e1be8.js"
[GIN] 2021/06/09 - 09:59:01 | 404 |          50µs |      172.18.0.1 | GET      "/js/app.9ee23089.js"
[GIN] 2021/06/09 - 09:59:18 | 200 |       103.4µs |      172.18.0.1 | GET      "/"
[GIN] 2021/06/09 - 09:59:19 | 404 |        68.6µs |      172.18.0.1 | GET      "/go/categories/"
[GIN] 2021/06/09 - 09:59:19 | 404 |        61.6µs |      172.18.0.1 | GET      "/go/book/?category=&hot=1&page=1"
[GIN] 2021/06/09 - 09:59:20 | 404 |        91.8µs |      172.18.0.1 | GET      "/fonts/element-icons.d9491be2.woff"
[GIN] 2021/06/09 - 09:59:20 | 404 |        68.4µs |      172.18.0.1 | GET      "/fonts/element-icons.abe71f7d.ttf"
[GIN] 2021/06/09 - 10:00:10 | 200 |          45µs |      172.18.0.1 | GET      "/"
[GIN] 2021/06/09 - 10:00:11 | 404 |       109.1µs |      172.18.0.1 | GET      "/go/categories/"
[GIN] 2021/06/09 - 10:00:11 | 404 |        67.9µs |      172.18.0.1 | GET      "/go/book/?category=&hot=1&page=1"
[GIN] 2021/06/09 - 10:00:11 | 404 |        61.1µs |      172.18.0.1 | GET      "/fonts/element-icons.d9491be2.woff"
[GIN] 2021/06/09 - 10:00:11 | 404 |       132.9µs |      172.18.0.1 | GET      "/fonts/element-icons.abe71f7d.ttf"
[GIN] 2021/06/09 - 13:33:01 | 200 |     129.879ms |      172.18.0.1 | GET      "/api/v1/book/1?page=1&category=&hot=1"
[GIN] 2021/06/09 - 13:33:12 | 200 |    149.3793ms |      172.18.0.1 | GET      "/api/v1/book/?page=1&category=&hot=1"
[GIN] 2021/06/09 - 13:33:53 | 200 |     77.4379ms |      172.18.0.1 | POST     "/api/v1/auth/"
[GIN] 2021/06/09 - 13:34:20 | 200 |     25.6124ms |      172.18.0.1 | POST     "/api/v1/book/"
[GIN] 2021/06/09 - 13:34:23 | 200 |     88.1813ms |      172.18.0.1 | GET      "/api/v1/book/?page=1&category=&hot=1"
[GIN] 2021/06/09 - 13:35:17 | 200 |     175.774ms |      172.18.0.1 | GET      "/api/v1/book/"
